Date,Distance,Trailing365
2012-08-27,0.0,30.820700000000002
2012-08-28,0.0,30.820700000000002
2012-08-29,0.0,30.820700000000002
2012-08-30,0.0,30.820700000000002
2012-08-31,3.1976999999999998,34.0184
2012-09-01,0.0,34.0184
2012-09-02,0.0,34.0184
2012-09-03,3.6674,35.6485
2012-09-04,0.0,35.6485
2012-09-05,0.0,35.6485
2012-09-06,0.0,35.6485
2012-09-07,0.0,35.6485
2012-09-08,0.0,35.6485
2012-09-09,3.5621,39.2106
2012-09-10,0.0,39.2106
2012-09-11,0.0,39.2106
2012-09-12,0.0,39.2106
2012-09-13,0.0,39.2106
2012-09-14,0.0,39.2106
2012-09-15,0.0,39.2106
2012-09-16,2.9091,42.1197
2012-09-17,0.0,42.1197
2012-09-18,0.0,42.1197
2012-09-19,0.0,42.1197
2012-09-20,0.0,42.1197
2012-09-21,0.0,42.1197
2012-09-22,5.4942,47.6139
2012-09-23,0.0,47.6139
2012-09-24,0.0,47.6139
2012-09-25,0.0,47.6139
2012-09-26,0.0,47.6139
2012-09-27,0.0,47.6139
2012-09-28,0.0,47.6139
2012-09-29,0.0,47.6139
2012-09-30,0.0,47.6139
2012-10-01,0.0,47.6139
2012-10-02,0.0,47.6139
2012-10-03,0.0,47.6139
2012-10-04,0.0,47.6139
2012-10-05,0.0,47.6139
2012-10-06,0.0,47.6139
2012-10-07,0.0,47.6139
2012-10-08,0.0,47.6139
2012-10-09,0.0,47.6139
2012-10-10,0.0,47.6139
2012-10-11,0.0,47.6139
2012-10-12,3.5554,51.1693
2012-10-13,0.0,51.1693
2012-10-14,6.289899999999999,57.459199999999996
2012-10-15,0.0,57.459199999999996
2012-10-16,0.0,57.459199999999996
2012-10-17,0.0,57.459199999999996
2012-10-18,0.0,57.459199999999996
2012-10-19,6.7616000000000005,64.2208
2012-10-20,0.0,64.2208
2012-10-21,3.9285,68.1493
2012-10-22,0.0,68.1493
2012-10-23,0.0,68.1493
2012-10-24,0.0,68.1493
2012-10-25,0.0,68.1493
2012-10-26,0.0,68.1493
2012-10-27,0.0,68.1493
2012-10-28,0.0,68.1493
2012-10-29,0.0,68.1493
2012-10-30,7.1707,75.32
2012-10-31,0.0,75.32
2012-11-01,0.0,68.94300000000001
2012-11-02,0.0,68.94300000000001
2012-11-03,0.0,68.94300000000001
2012-11-04,5.146199999999999,74.0892
2012-11-05,0.0,67.40350000000001
2012-11-06,0.0,67.40350000000001
2012-11-07,0.0,67.40350000000001
2012-11-08,0.0,67.40350000000001
2012-11-09,0.0,67.40350000000001
2012-11-10,7.4609000000000005,74.8644
2012-11-11,0.0,74.86439999999999
2012-11-12,0.0,74.86439999999999
2012-11-13,0.0,74.86439999999999
2012-11-14,0.0,74.86439999999999
2012-11-15,0.0,74.86439999999999
2012-11-16,0.0,74.86439999999999
2012-11-17,0.0,74.86439999999999
2012-11-18,0.0,74.86439999999999
2012-11-19,0.0,74.86439999999999
2012-11-20,0.0,74.86439999999999
2012-11-21,0.0,74.86439999999999
2012-11-22,0.0,74.86439999999999
2012-11-23,0.0,74.86439999999999
2012-11-24,0.0,74.86439999999999
2012-11-25,0.0,74.86439999999999
2012-11-26,0.0,74.86439999999999
2012-11-27,0.0,74.86439999999999
2012-11-28,0.0,74.86439999999999
2012-11-29,0.0,74.86439999999999
2012-11-30,0.0,74.86439999999999
2012-12-01,0.0,74.86439999999999
2012-12-02,0.0,74.86439999999999
2012-12-03,0.0,74.86439999999999
2012-12-04,0.0,74.86439999999999
2012-12-05,5.1443,80.00869999999999
2012-12-06,0.0,80.0087
2012-12-07,0.0,80.0087
2012-12-08,0.0,80.0087
2012-12-09,0.0,80.0087
2012-12-10,0.0,80.0087
2012-12-11,0.0,80.0087
2012-12-12,0.0,80.0087
2012-12-13,0.0,80.0087
2012-12-14,0.0,80.0087
2012-12-15,0.0,80.0087
2012-12-16,0.0,80.0087
2012-12-17,7.6417,87.6504
2012-12-18,0.0,87.65039999999999
2012-12-19,0.0,87.65039999999999
2012-12-20,0.0,87.65039999999999
2012-12-21,0.0,87.65039999999999
2012-12-22,0.0,87.65039999999999
2012-12-23,0.0,87.65039999999999
2012-12-24,0.0,87.65039999999999
2012-12-25,0.0,87.65039999999999
2012-12-26,0.0,87.65039999999999
2012-12-27,0.0,87.65039999999999
2012-12-28,0.0,87.65039999999999
2012-12-29,0.0,87.65039999999999
2012-12-30,0.0,87.65039999999999
2012-12-31,0.0,87.65039999999999
2013-01-01,5.1307,92.7811
2013-01-02,0.0,92.78110000000001
2013-01-03,0.0,92.78110000000001
2013-01-04,0.0,92.78110000000001
2013-01-05,0.0,92.78110000000001
2013-01-06,6.45,99.23110000000001
2013-01-07,7.1071,106.3382
2013-01-08,0.0,106.3382
2013-01-09,0.0,106.3382
2013-01-10,0.0,106.3382
2013-01-11,0.0,106.3382
2013-01-12,0.0,106.3382
2013-01-13,0.0,106.3382
2013-01-14,5.7534,112.0916
2013-01-15,0.0,112.0916
2013-01-16,4.5,116.5916
2013-01-17,0.0,116.5916
2013-01-18,0.0,116.5916
2013-01-19,3.0,119.5916
2013-01-20,0.0,119.5916
2013-01-21,0.0,119.5916
2013-01-22,0.0,119.5916
2013-01-23,5.0,124.5916
2013-01-24,0.0,124.5916
2013-01-25,0.0,124.5916
2013-01-26,0.0,124.5916
2013-01-27,0.0,124.5916
2013-01-28,0.0,124.5916
2013-01-29,0.0,124.5916
2013-01-30,0.0,124.5916
2013-01-31,0.0,124.5916
2013-02-01,0.0,124.5916
2013-02-02,0.0,124.5916
2013-02-03,0.0,124.5916
2013-02-04,0.0,124.5916
2013-02-05,3.45,128.0416
2013-02-06,0.0,128.0416
2013-02-07,0.0,128.0416
