"Distance_km","Pace_min_km"
4.8721,5.34359303195469
3.2468,6.14552605703048
7.5385,7.21500721500722
2.8398,5.28764805414552
8.986,6.18888476296571
9.1071,6.00168047053175
5.1222,5.87268029128494
6.6874,5.7850283466389
1.598,5.73526038082129
5.074,5.68246391635413
5.6016,6.78334011667345
1.3634,5.5005500550055
21.2908,5.99089384136113
9.3413,6.06060606060606
6.5897,5.80720092915215
8.8031,6.58241179568194
16.9941,6.16598840794179
1.5107,6.66400106624017
8.9031,6.52826739783262
1.4474,5.80315691736305
2.5306,6.36132315521628
3.6045,5.55740802489719
2.5822,5.59659726886053
8.6174,6.59543595831684
5.0266,6.43252283545607
3.5073,5.55000555000555
16.0948,5.40774388924941
0.9777,6.29168239587266
3.1009,5.1376900945335
7.7676,7.08315625442697
1.6259,5.99736116108912
5.0056,5.92276711679697
6.8254,6.05180343742435
1.4005,5.72344322344322
5.2402,6.3323201621074
8.3371,5.6999544003648
11.7622,5.63443768311922
1.607,8.96057347670251
1.6771,6.51041666666667
9.5591,6.74490759476595
1.4613,6.62690523525514
5.0233,6.31074088097943
7.778,6.44496004124774
1.4885,5.82343349638947
10.1476,6.31791761435431
1.509,6.51550690643732
8.5424,6.72314105149926
3.0653,6.35162601626016
5.0241,6.52826739783262
13.165,6.17741536940944
8.7525,6.48760866744518
1.3049,5.64588979223126
4.5896,6.5772165219679
1.5349,6.36375206821942
5.247,5.6249296883789
1.4396,6.03209072264447
3.9976,6.43252283545607
1.5388,6.35647088736334
8.5276,6.32751202227284
1.6557,6.41272284211876
1.5258,6.43252283545607
8.0758,5.6999544003648
1.5,5.99952003839693
3.0407,6.22122682593007
11.1,6.03646021972715
3.3077,5.94601022713759
1.3951,6.47500647500648
5.6037,5.4608999563128
1.506,5.57786702365016
1.5262,6.15915250061592
8.3268,6.59543595831684
1.4811,5.89761736258552
7.4377,6.00384245917387
1.5099,5.98229241445322
0.4972,5.79911853398283
4.9482,5.0999592003264
2.5267,5.84385226741468
1.4365,6.78610206297503
9.07,6.67735042735043
1.4602,6.30119722747322
5.0354,6.00168047053175
11.4406,6.03209072264447
1.5456,6.55651717807501
7.947,6.68270515904838
1.4989,6.40532923392262
0.5447,6.27273867770669
6.0227,5.77901063337957
1.8616,6.55393891728929
1.9809,6.01684717208183
4.9687,5.14880032952322
2.3807,6.11845325501713
1.5314,6.6613375965894
8.454,6.69612963706977
1.9287,6.29168239587266
9.467,6.31074088097943
1.2138,6.08272506082725
4.9684,5.06893755068938
2.474,5.44306553450904
11.1815,6.67200427008273
5.6918,6.11172228333945
3.5632,6.0562015503876
10.5566,6.7367286445702
8.0729,5.93330960009493
10.0127,5.40423692174665
8.0636,7.06214689265537
3.4442,6.0916179337232
8.2048,6.87568756875688
6.056,5.69216757741348
5.0081,5.27092557453089
5.0186,6.2235499128703
5.0073,5.38851169307037
10.0882,5.77700751010976
4.003,5.94601022713759
10.0135,6.49519355676799
3.8995,5.98444045481747
8.4746,6.27037873087535
3.0105,5.98444045481747
1.0089,5.81530588508956
5.0485,5.58534405719392
2.2385,5.83771161704612
0.2542,6.62163951794464
5.0027,5.80113702285648
5.025,6.02554832489757
7.4672,5.97371565113501
3.0251,5.98229241445322
6.2465,6.59543595831684
5.0412,6.59804697809448
5.0105,5.90388475616956
5.0208,6.08494584398199
3.7395,5.96729920038191
2.2171,6.27037873087535
4.0247,5.69411228789432
3.4732,6.55393891728929
3.6655,5.77901063337957
3.0693,5.83771161704612
3.0302,5.96302921884317
3.0105,5.85823081429408
2.625,5.60600964233659
2.543,5.94388968140751
2.5526,5.71951498512926
