"Year","Week","TotalDistance"
2025,7,40.718
2025,8,45.9508
2025,9,20.5496
2025,10,69.913
2025,11,44.0538
2025,12,42.336
2025,13,35.8638
2025,14,36.2602
2025,15,30.0854
2025,16,51.6806
2025,17,36.6602
2025,18,35.421
2025,19,34.7612
2025,20,10.9408
2025,21,33.3494
2025,22,26.8434
2025,23,24.1738
2025,24,41.0562
2025,25,28.9138
2025,26,58.2732
2025,27,34.8934
2025,28,29.203
2025,29,47.1036
2025,30,17.404
2025,31,0
2025,32,0
2025,33,0
2025,34,0
2025,35,0
2025,36,0
2025,37,0
2025,38,0
2025,39,0
2025,40,0
2025,41,0
2025,42,0
2025,43,0
2025,44,0
2025,45,0
2025,46,0
2025,47,0
2025,48,0
2025,49,0
2025,50,0
2025,51,0
2025,52,0
2025,53,0
